"tipo","numero","genero","nacionalidad","promedio","actividad"
"U",10001,"F","MEX",74,"Ninguna"
"U",10002,"M","MEX",85.5,"Cultura"
"U",10003,"M","MEX",83.1,"Ninguna"
"U",10004,"M","MEX",85,"Ninguna"
"P",10005,"F","MEX",75.6,"Ninguna"
"P",10006,"M","EXT",86.3,"Ninguna"
"U",10007,"F","MEX",78.1,"Deportiva"
"U",10008,"F","MEX",81.2,"Deportiva"
"U",10009,"F","MEX",74.8,"Ninguna"
"U",10010,"F","MEX",77.6,"Ninguna"
"U",10011,"M","MEX",82.9,"Cultura"
"P",10012,"M","MEX",77.4,"Cultura"
"P",10013,"M","MEX",79.7,"Ninguna"
"U",10014,"F","MEX",84.3,"Cultura"
"U",10015,"M","MEX",88.1,"Deportiva"
"U",10016,"F","MEX",83.3,"Ninguna"
"P",10017,"M","MEX",84.5,"Cultura"
"P",10018,"M","EXT",80.5,"Deportiva"
"U",10019,"M","MEX",84.1,"Ninguna"
"U",10020,"F","EXT",73.5,"Cultura"
"U",10021,"F","MEX",74.9,"Ninguna"
"U",10022,"F","MEX",76.8,"Ninguna"
"P",10023,"M","MEX",82.3,"Deportiva"
"U",10024,"M","MEX",79.9,"Ninguna"
"U",10025,"O","MEX",68.3,"Ninguna"
"U",10026,"O","EXT",87.6,"Ninguna"
"U",10027,"M","MEX",71.4,"Ninguna"
"P",10028,"F","MEX",84.7,"Deportiva"
"P",10029,"F","MEX",78.6,"Cultura"
"P",10030,"M","MEX",83.1,"Ninguna"
"U",10031,"M","EXT",79.1,"Ninguna"
"P",10032,"M","MEX",80.8,"Ninguna"
"U",10033,"F","EXT",69.8,"Cultura"
"U",10034,"F","MEX",82,"Deportiva"
"P",10035,"F","MEX",84.3,"Ninguna"
"U",10036,"F","MEX",78.2,"Ninguna"
"U",10037,"O","MEX",78.6,"Ninguna"
"U",10038,"M","EXT",89.2,"Ninguna"
"U",10039,"M","MEX",79.3,"Ninguna"
"P",10040,"F","MEX",72,"Cultura"
"P",10041,"F","MEX",79.9,"Deportiva"
"U",10042,"M","MEX",82.1,"Cultura"
"U",10043,"F","MEX",70.6,"Cultura"
"U",10044,"F","MEX",74.2,"Ninguna"
"U",10045,"M","MEX",79,"Ninguna"
"U",10046,"F","MEX",75,"Deportiva"
"U",10047,"M","MEX",84,"Deportiva"
"P",10048,"O","EXT",79.7,"Cultura"
"U",10049,"F","EXT",79.5,"Cultura"
"P",10050,"M","MEX",69.3,"Cultura"
"U",10051,"F","MEX",73,"Ninguna"
"P",10052,"M","EXT",85,"Cultura"
"U",10053,"O","MEX",73.5,"Ninguna"
"U",10054,"M","MEX",80.9,"Ninguna"
"P",10055,"F","MEX",78.3,"Cultura"
"U",10056,"M","MEX",77.6,"Deportiva"
"P",10057,"M","MEX",72.7,"Cultura"
"P",10058,"F","MEX",77.8,"Cultura"
"P",10059,"M","EXT",83.9,"Deportiva"
"P",10060,"O","MEX",79.7,"Ninguna"
"U",10061,"O","MEX",84.2,"Ninguna"
"U",10062,"F","MEX",80.8,"Ninguna"
"P",10063,"F","MEX",82.3,"Ninguna"
"U",10064,"O","MEX",94.3,"Deportiva"
"U",10065,"M","MEX",87.5,"Deportiva"
"U",10066,"M","MEX",84,"Cultura"
"U",10067,"F","MEX",81.4,"Deportiva"
"P",10068,"F","MEX",85.2,"Ninguna"
"U",10069,"F","EXT",82.6,"Ninguna"
"U",10070,"O","MEX",84.6,"Ninguna"
"U",10071,"M","MEX",79.6,"Ninguna"
"U",10072,"F","MEX",80,"Deportiva"
"P",10073,"F","MEX",79.4,"Cultura"
"P",10074,"M","EXT",69.9,"Ninguna"
"U",10075,"F","MEX",89.1,"Cultura"
"U",10076,"M","MEX",71.2,"Ninguna"
"U",10077,"O","MEX",86.8,"Ninguna"
"P",10078,"F","MEX",75.3,"Ninguna"
"P",10079,"F","MEX",77.7,"Deportiva"
"U",10080,"F","EXT",85.7,"Ninguna"
"U",10081,"M","EXT",75.5,"Cultura"
"P",10082,"M","MEX",87.3,"Cultura"
"P",10083,"F","EXT",70.5,"Cultura"
"P",10084,"M","MEX",76.6,"Cultura"
"P",10085,"M","MEX",79,"Cultura"
"U",10086,"F","MEX",78,"Deportiva"
"P",10087,"M","MEX",88.8,"Ninguna"
"U",10088,"M","MEX",84.7,"Cultura"
"U",10089,"F","MEX",82.4,"Ninguna"
"P",10090,"M","MEX",67.7,"Ninguna"
"U",10091,"M","MEX",81.8,"Cultura"
"P",10092,"M","MEX",85,"Deportiva"
"U",10093,"F","EXT",82.2,"Cultura"
"U",10094,"F","MEX",79.8,"Cultura"
"U",10095,"O","MEX",78.2,"Cultura"
"P",10096,"M","MEX",77.4,"Cultura"
"P",10097,"F","EXT",79.8,"Ninguna"
"U",10098,"M","MEX",86.8,"Cultura"
"P",10099,"F","MEX",82.6,"Deportiva"
"P",10100,"F","MEX",86.9,"Cultura"
"U",10101,"M","MEX",84.1,"Deportiva"
"U",10102,"F","EXT",80.2,"Ninguna"
"P",10103,"M","EXT",77.2,"Ninguna"
"U",10104,"M","MEX",83.7,"Deportiva"
"U",10105,"F","MEX",85.3,"Cultura"
"U",10106,"M","MEX",75.8,"Cultura"
"U",10107,"M","EXT",86.2,"Ninguna"
"U",10108,"F","MEX",73.4,"Deportiva"
"P",10109,"F","MEX",74.9,"Cultura"
"U",10110,"M","MEX",72.2,"Ninguna"
"P",10111,"M","MEX",74.1,"Ninguna"
"P",10112,"O","MEX",81.6,"Ninguna"
"P",10113,"O","EXT",86.5,"Cultura"
"U",10114,"F","EXT",78.5,"Ninguna"
"U",10115,"M","MEX",80.7,"Cultura"
"U",10116,"F","EXT",86.6,"Ninguna"
"U",10117,"M","MEX",83.2,"Ninguna"
"U",10118,"M","EXT",86.6,"Ninguna"
"U",10119,"M","MEX",76.1,"Cultura"
"P",10120,"F","MEX",82.3,"Deportiva"
"U",10121,"F","MEX",73.3,"Ninguna"
"U",10122,"M","MEX",82.6,"Deportiva"
"U",10123,"F","MEX",82.3,"Cultura"
"U",10124,"F","EXT",75.5,"Cultura"
"P",10125,"F","MEX",90.3,"Ninguna"
"U",10126,"M","MEX",80.8,"Ninguna"
"P",10127,"M","MEX",87.2,"Ninguna"
"U",10128,"M","EXT",78.7,"Ninguna"
"P",10129,"F","MEX",78.8,"Cultura"
"U",10130,"M","MEX",78.1,"Ninguna"
"U",10131,"M","MEX",82.9,"Ninguna"
"U",10132,"F","MEX",78.5,"Cultura"
"U",10133,"M","MEX",84.9,"Cultura"
"P",10134,"M","MEX",75.6,"Cultura"
"U",10135,"M","MEX",75.3,"Ninguna"
